2025-11-02 20:06:27 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:06:27 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:06:27 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:06:49 | INFO     | logger:info:57 | Created Perplexity tab 1
2025-11-02 20:14:29 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:14:30 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:14:30 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:14:31 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:14:31 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:14:31 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:14:31 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:14:31 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:14:33 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:14:33 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:14:33 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:14:33 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:14:33 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:14:33 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:14:33 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:20:48 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:20:49 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:20:49 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:20:50 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:20:50 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:20:50 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:20:50 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:20:50 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:20:53 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:20:53 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:20:53 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:20:53 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:20:53 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:20:53 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:20:53 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:27:16 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:27:17 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:27:17 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:27:18 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:27:18 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:27:18 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:27:18 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:27:18 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:27:20 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:27:20 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:27:20 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:27:20 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:27:20 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:27:20 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:27:20 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:28:17 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:28:18 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:28:18 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:28:19 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:28:19 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:28:19 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
